Gender=male,Age,Address=urban,FamiSize=>3,ParentsStat=together,MonEdu,FatEdu,MonJob=at_home,MonJob=health,MonJob=other,MonJob=services,MonJob=teacher,FatJob=at_home,FatJob=health,FatJob=other,FatJob=services,FatJob=teacher,ChoSchReason=course,ChoSchReason=home,ChoSchReason=other,ChoSchReason=reputation,Guardian=father,Guardian=mother,Guardian=other,TravelTime,StudyTime,ClassFailures,schoolsup=yes,FamiSup=yes,PaidExtraCourse=yes,ExtraActivities=yes,Nursery=yes,WantHigherEdu=yes,Internet=yes,RomanRelation=yes,FamiRelation,Freetime,GoOut,AlcWorkday,AlcWeeken,HealthStatus,Absences,School=MS,cluster
0,15,1,1,1,4,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,3,0,0,1,0,1,1,1,1,0,4,2,2,1,1,5,2,0,cluster1
0,16,1,1,1,4,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,2,3,1,1,5,2,0,cluster2
1,16,1,1,1,3,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,1,1,1,1,4,2,3,1,2,3,0,0,cluster2
0,17,1,1,1,3,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,1,1,1,0,4,4,5,1,3,5,8,0,cluster2
0,16,1,1,1,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,0,1,4,3,5,1,1,5,0,0,cluster2
1,16,1,1,1,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,4,7,0,cluster2
1,15,1,0,1,4,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,0,0,cluster1
1,15,1,1,1,4,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,0,cluster2
1,15,1,1,1,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,3,5,0,0,cluster2
0,16,1,1,1,4,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2,0,cluster2
1,16,1,1,1,2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0,0,cluster2
1,16,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,0,1,0,0,1,1,1,0,3,4,2,1,1,5,2,0,cluster2
0,17,1,1,1,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,2,0,0,1,0,1,1,1,1,1,4,3,4,2,2,1,10,0,cluster2
1,15,1,1,1,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,0,cluster1
1,16,1,1,1,4,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,4,0,cluster2
1,18,1,1,1,4,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,1,1,1,1,4,3,2,1,4,5,2,0,cluster2
0,18,1,1,1,3,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,5,4,4,1,1,1,4,0,cluster2
1,15,1,1,1,4,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,0,0,4,3,3,2,2,5,4,0,cluster2
0,17,1,1,1,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,3,4,0,0,cluster2
0,19,1,1,1,2,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,0,cluster1
0,17,1,1,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,1,0,1,1,1,1,0,4,3,4,1,3,4,0,0,cluster1
0,19,1,1,1,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,4,0,0,1,0,1,1,1,1,0,4,3,3,1,2,3,4,0,cluster2
1,16,1,1,1,3,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,4,0,cluster2
0,15,1,1,1,4,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,0,cluster1
0,18,1,0,1,4,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,1,1,1,1,0,4,2,2,1,1,3,0,0,cluster2
0,18,1,1,1,3,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,0,4,1,4,1,1,3,8,0,cluster2
0,15,1,1,1,4,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,4,0,cluster1
0,18,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,3,0,0,0,0,1,1,1,1,0,4,5,5,1,2,2,0,0,cluster2
0,18,1,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,1,1,1,1,1,4,3,1,1,1,5,10,0,cluster2
0,16,1,1,1,4,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,1,2,0,cluster1
1,17,1,1,1,2,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,1,1,0,5,2,2,1,1,2,2,0,cluster2
1,17,1,0,0,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,2,5,10,0,cluster2
1,16,1,0,1,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,1,1,1,1,4,2,3,1,2,5,0,0,cluster2
1,15,1,1,1,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,2,0,cluster2
0,17,0,1,1,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,3,0,0,1,0,1,1,1,1,0,5,3,4,1,1,5,0,0,cluster1
0,17,1,0,1,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,1,1,1,0,4,4,4,1,3,1,2,0,cluster2
0,16,1,1,0,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,1,0,2,3,3,2,2,4,2,0,cluster2
1,16,1,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,4,0,0,1,0,0,1,1,1,0,4,3,2,1,1,5,2,0,cluster2
1,16,1,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,0,0,cluster2
0,18,1,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,3,0,0,cluster1
1,18,1,1,1,4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,1,0,4,3,2,1,1,3,2,0,cluster2
0,17,1,1,1,3,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,3,0,0,1,0,0,1,1,1,1,4,2,2,2,3,5,10,0,cluster2
1,16,1,0,1,4,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,0,cluster2
0,18,1,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,1,1,4,2,5,1,2,1,8,0,cluster2
1,18,1,1,1,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,2,2,0,0,cluster1
0,17,1,1,1,2,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,2,0,0,0,0,1,1,1,1,1,4,2,1,1,1,3,2,0,cluster2
1,18,1,1,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,5,4,2,1,2,5,6,0,cluster2
0,15,1,1,1,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,1,0,4,3,2,1,1,5,6,0,cluster2
1,16,1,1,1,3,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,5,4,3,1,1,5,4,0,cluster2
0,17,1,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,0,0,cluster2
0,16,1,0,1,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,2,0,0,1,0,0,1,1,1,0,4,3,3,2,3,4,0,0,cluster1
0,17,1,1,1,3,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,1,0,5,3,4,1,3,3,2,0,cluster2
1,15,1,0,1,4,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,0,cluster2
0,16,1,1,1,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,6,0,cluster1
1,17,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,1,1,0,4,3,3,1,2,4,0,0,cluster2
0,17,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,0,cluster2
0,16,1,1,0,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,1,1,1,1,5,3,3,1,2,5,0,0,cluster2
1,17,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,1,0,1,0,1,1,1,1,0,4,4,4,1,2,5,0,0,cluster2
0,16,1,0,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,6,0,cluster2
1,16,1,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,0,cluster2
1,18,1,1,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,3,0,0,0,0,1,1,1,1,0,4,2,4,1,3,2,0,0,cluster1
0,17,1,1,1,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,1,1,1,1,3,4,5,2,4,1,16,0,cluster2
1,16,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,1,1,1,1,1,4,3,2,1,1,3,0,0,cluster2
0,16,1,0,1,4,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,0,cluster1
0,18,1,1,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,2,0,0,cluster1
1,17,1,1,1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,6,0,cluster1
0,16,1,1,1,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,4,0,cluster1
1,15,1,0,1,3,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,0,cluster2
1,15,1,0,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,2,0,cluster1
1,17,1,0,1,4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,2,0,0,0,0,1,1,1,1,0,4,4,4,4,4,4,0,0,cluster2
0,16,1,1,1,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,5,3,5,1,2,5,4,0,cluster2
0,18,1,0,0,2,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,2,1,0,1,0,0,1,1,1,0,4,3,3,1,1,3,18,0,cluster2
0,15,1,1,1,3,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,1,0,1,0,0,1,1,1,0,3,3,2,1,1,3,2,0,cluster1
1,17,1,1,1,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,0,cluster2
1,19,1,1,1,4,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,2,0,0,1,0,1,1,1,1,1,5,4,4,1,1,1,9,0,cluster2
0,16,1,1,1,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,1,1,0,0,1,1,1,0,4,3,3,1,2,5,0,0,cluster2
1,17,1,1,1,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,4,4,4,2,3,4,8,0,cluster2
0,15,1,1,1,4,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,3,3,4,2,3,5,0,0,cluster1
1,15,1,1,1,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,0,cluster2
1,16,0,1,1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,0,0,cluster1
0,17,1,1,1,3,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1,1,1,0,0,5,4,2,1,1,3,4,0,cluster2
1,16,1,1,1,3,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,6,0,cluster1
0,18,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,0,0,cluster2
0,16,1,1,1,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,4,0,cluster2
0,15,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,0,4,4,2,1,2,5,0,0,cluster1
0,18,1,1,1,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,1,3,1,2,1,3,2,2,0,cluster2
0,15,1,1,1,4,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,0,cluster1
1,16,1,1,1,4,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,6,0,cluster1
0,18,1,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,0,1,1,1,0,4,1,4,1,3,4,10,0,cluster2
0,15,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,0,cluster2
0,17,0,1,1,4,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0,1,1,1,1,0,4,3,4,1,3,5,2,0,cluster2
1,18,1,1,1,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0,1,1,1,1,0,3,2,4,1,4,3,6,0,cluster1
1,16,1,1,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,3,3,3,1,2,3,0,0,cluster1
0,16,1,1,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,1,0,1,1,0,3,4,4,1,4,5,0,0,cluster2
0,18,1,1,1,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,0,0,1,0,0,1,1,1,1,4,3,4,1,2,2,5,0,cluster2
1,18,1,0,1,4,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,1,1,1,1,0,4,2,3,1,2,1,0,0,cluster1
0,15,1,1,1,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,1,1,0,0,1,1,1,0,5,1,2,1,1,3,4,0,cluster2
1,15,1,1,1,4,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,0,0,cluster1
1,16,1,1,1,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,4,0,cluster2
0,15,1,1,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,0,cluster2
1,16,1,1,1,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,3,0,0,0,0,1,1,1,1,1,5,3,3,1,3,2,0,0,cluster2
1,15,1,1,1,2,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,4,0,0,1,0,1,1,1,1,0,5,5,4,1,2,5,6,0,cluster1
1,18,1,1,1,4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0,0,1,1,1,1,5,4,5,2,3,5,0,0,cluster2
0,15,1,1,0,4,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,1,0,1,1,1,1,0,4,3,2,1,1,1,0,0,cluster1
0,15,1,1,1,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,4,5,5,1,3,1,6,0,cluster2
0,17,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,0,cluster1
0,16,1,1,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,1,1,0,0,1,1,1,0,3,3,4,1,1,4,0,0,cluster2
1,18,0,0,1,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,3,0,0,1,0,1,1,1,1,0,5,4,2,1,1,4,0,0,cluster2
0,18,0,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,1,1,5,3,3,1,1,4,4,0,cluster2
0,15,1,1,1,3,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,1,1,0,0,1,1,1,0,4,3,5,1,1,2,16,0,cluster2
0,17,0,1,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,21,0,cluster2
0,17,0,1,1,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,3,0,0,1,0,1,1,1,1,1,4,4,2,1,1,4,0,0,cluster2
